Rod Load,Displacement,Time
4085.7,0.10168,1.0
4078.987201520703,0.11169277797186351,2.0
4065.3971322028524,0.1319636600967401,3.0
4044.9577609711646,0.16245092806084963,4.0
4017.7004148931924,0.20310785456068575,5.0
3983.65968903072,0.25388283776824305,6.0
3942.8523712145065,0.3147195379148315,7.0
3895.323286863477,0.3855570155598586,8.0
3844.8655123436333,0.4663298711256827,9.0
3804.2155120480834,0.5569683852981925,10.0
3759.174951662593,0.6573986599091272,11.0
3709.779843188229,0.7675427589344592,12.0
3717.787591949127,0.887318849263796,13.0
3758.562596513683,1.016641340912813,14.0
3830.1230721396723,1.155421026371436,15.0
3966.4472492152327,1.3035652188003684,16.0
4032.3113117318403,1.4609778888074494,17.0
4014.011933819439,1.6275597995557955,18.0
3940.2147102195904,1.8032086399738678,19.0
3780.212133890314,1.987819155858399,20.0
3581.2045859678174,2.1812832786782934,21.0
3589.997342040176,2.383490251907182,22.0
3638.0126623909005,2.594326754729273,23.0
3716.852214493303,2.8136770229815062,24.0
3826.6317730183864,3.0414229672107322,25.0
3964.829001950251,3.277444287741832,26.0
4118.680585588466,3.5216185866674237,27.0
4263.524371338338,3.77382147668537,28.0
4466.868905293373,4.033926686723837,29.0
4611.744967576065,4.301806164307991,30.0
4817.959345621246,4.577330174634394,31.0
5096.750071564876,4.860367396331989,32.0
5432.690840078515,5.150785013899588,33.0
5715.189496864887,5.448448806820738,34.0
5880.227996803175,5.753223235367006,35.0
5915.74477434033,6.064971523110006,36.0
5918.558425598753,6.383555736170914,37.0
5887.411185913474,6.7088368592456895,38.0
5850.133592426643,7.040674868450164,39.0
5890.163468727916,7.378928801037031,40.0
5959.9262140644505,7.723456822043528,41.0
6165.730009811059,8.074116287933448,42.0
6441.891656476965,8.430763807303627,43.0
6741.483659718496,8.793255298729155,44.0
6930.605492203272,9.161446045826422,45.0
6968.0197592591485,9.535190749617191,46.0
6918.546465062107,9.9143435782801,47.0
6862.902200882264,10.298758214379877,48.0
6760.955111287516,10.688287899666527,49.0
6699.813247370663,11.082785477540444,50.0
6718.936999193384,11.482103433280427,51.0
6754.996449386821,11.886093932134678,52.0
6778.418958636847,12.29460885537563,53.0
6778.659183576922,12.7074998344211,54.0
6778.936138203974,13.124618283126132,55.0
6785.3513879442835,13.54581542834965,56.0
6817.7105624950655,13.970942338902011,57.0
6967.247471444756,14.39984995297923,58.0
7286.258482381796,14.832389104190904,59.0
7642.231471086756,15.268410546288,60.0
8006.580151623677,15.707764976698247,61.0
8403.073777241994,16.150303058975407,62.0
8601.684027370637,16.595875444269335,63.0
8746.772921761567,17.044332791923722,64.0
8702.45217028926,17.49552578930677,65.0
8513.101087946696,17.949305170980974,66.0
8274.05267487878,18.405521737316402,67.0
8123.688270962928,18.86402637265193,68.0
8067.021319804132,19.324670063107366,69.0
8084.903740650745,19.787303914148477,70.0
8137.9319049150245,20.25177916800647,71.0
8145.732527454099,20.717947221051386,72.0
8125.746875028662,21.185659641217356,73.0
8073.026079122493,21.654768185577844,74.0
8023.532135695435,22.12512481816465,75.0
7991.32359402798,22.596581728124857,76.0
7991.598250783899,23.06899134830705,77.0
7991.960063698575,23.542206374365673,78.0
7895.713068768356,24.016079784470584,79.0
7741.275031218609,24.490464859706314,80.0
7454.16342290143,24.96521520524213,81.0
7172.592273240001,25.44018477235197,82.0
6783.6542849356065,25.915227881359407,83.0
6382.183723939157,26.390199245579645,84.0
6063.373356484476,26.86495399632677,85.0
5939.585882731762,27.339347709051005,86.0
6001.018818414214,27.81323643066535,87.0
6217.161611475974,28.28647670811799,88.0
6357.885937971215,28.758925618260633,89.0
6413.245583799446,29.230440799059075,90.0
6421.287623667012,29.70088048218585,91.0
6378.963353209149,30.170103527029788,92.0
6326.432121875208,30.637969456151236,93.0
6323.655429355933,31.10433849220477,94.0
6340.288570361895,31.569071596345438,95.0
6363.195366574493,32.03203050812712,96.0
6363.463893753291,32.49307778689429,97.0
6357.7615461161695,32.95207685466118,98.0
6325.195867465386,33.408892040464536,99.0
6427.23600245938,33.86338862616805,100.0
6618.46072010768,34.31543289368813,101.0
6859.0459169219,34.76489217360208,102.0
7205.671504392571,35.211634895091926,103.0
7635.9148247463545,35.65553063716686,104.0
7981.17174916767,36.09645018109976,105.0
8072.01281934227,36.53426556400302,106.0
8006.950086172746,36.968850133461025,107.0
7820.013251659484,37.400078603126246,108.0
7658.888486496381,37.82782710917851,109.0
7612.326147248567,38.25197326753627,110.0
7626.373855051706,38.672396231702436,111.0
7690.713939971579,39.08897675111604,112.0
7684.004461605015,39.5015972298755,113.0
7653.5809308529,39.91014178568963,114.0
7623.338066814372,40.31449630890633,115.0
7613.95845844271,40.71454852146104,116.0
7650.955545747075,41.11018803558176,117.0
7647.033108471044,41.50130641208105,118.0
7544.411424479222,41.88779721806034,119.0
7373.340417832356,42.269556083848165,120.0
7135.882433918079,42.64648075899017,121.0
6736.165135143885,43.01847116710588,122.0
6371.010207547856,43.38542945942592,123.0
6018.074620851375,43.74726006682248,124.0
6004.014015249837,44.103869750145634,125.0
6113.929102906812,44.455167648680316,126.0
6263.164333341388,44.80106532653976,127.0
6332.820626056288,45.141476816815846,128.0
6331.031200767881,45.47631866331019,129.0
6306.405650303339,45.80550995967557,130.0
6294.494751387096,46.12897238580468,131.0
6294.679436186807,46.44663024130882,132.0
6294.941055647622,46.75841047594014,133.0
6295.138513207453,47.064242716818455,134.0
6280.683161464842,47.36405929233528,135.0
6258.7098900172405,47.65779525261927,136.0
6315.586280302448,47.945388386458205,137.0
